Actor	Facebook likes	Actor Genre
Temuera Morrison	368	Action
Taika Waititi	326	Action
Tom Hanks	15000	Drama
John Ratzenberger	1000	Animation
Don Rickles	721	Comedy
Common	988	Comedy
Jason Statham	26000	Action
Paul Walker	23000	Action
Vin Diesel	14000	Action
Peter Capaldi	17000	Thriller
Brad Pitt	11000	Drama
Mireille Enos	1000	Action
Jennifer Lawrence	34000	Drama
Benedict Cumberbatch	19000	Drama
Bruce Greenwood	981	Drama
Noel Clarke	928	Action
Eddie Marsan	979	Drama
Ewen Bremner	557	Drama
Ralph Brown	140	Adventure
Elizabeth Debicki	509	Drama
Steve Bisley	77	Drama
Jake Gyllenhaal	15000	Drama
Richard Coyle	567	Romance
Reece Ritchie	236	Action
Charlie Hunnam	16000	Drama
Clifton Collins Jr.	968	Thriller
Larry Joe Campbell	919	Action
Lester Speight	829	Action
Harrison Ford	11000	Action
Ray Winstone	1000	Drama
Jim Broadbent	1000	Drama
A.J. Buckley	275	Drama
Jack McGraw	150	Adventure
Peter Sohn	113	Adventure
Kelly Macdonald	2000	Drama
Julie Walters	838	Drama
Sofia Boutella	998	Action
Melissa Roxburgh	119	Action
Lydia Wilson	105	Action
Fred Willard	729	Comedy
Jeff Garlin	522	Comedy
Tzi Ma	268	Thriller
Dana Ivey	268	Comedy
Noémie Lenoir	173	Action
Oliver Platt	1000	Comedy
Liam James	468	Drama
Tom McCarthy	310	Drama
Robin Wright	18000	Drama
Colin Firth	14000	Drama
Gary Oldman	10000	Drama
Channing Tatum	17000	Drama
Eddie Redmayne	13000	Drama
Casper Crump	103	Action
Kiran Shah	190	Adventure
Shane Rangi	82	Adventure
Michael Fassbender	13000	Drama
Tye Sheridan	1000	Drama
Heath Ledger	13000	Drama
Morgan Freeman	11000	Drama
Delroy Lindo	848	Thriller
Jess Harnell	262	Adventure
Amy Poehler	1000	Comedy
Rainn Wilson	973	Comedy
Stephen Colbert	459	Comedy
Chloë Grace Moretz	17000	Drama
Salma Hayek	4000	Comedy
Bai Ling	582	Action
Jet Li	5000	Action
Brendan Fraser	3000	Comedy
Russell Wong	595	Action
Robin Atkin Downes	336	Action
Ike Barinholtz	329	Comedy
Jimmy Bennett	87000	Thriller
Steve Carell	7000	Comedy
Tom Cruise	10000	Drama
Lara Pulver	854	Action
Noah Taylor	509	Romance
Jeanne Tripplehorn	711	Comedy
Rick Aviles	60	Action
Zakes Mokae	60	Adventure
Dennis Quaid	2000	Drama
Leo Howard	570	Action
Mindy Kaling	767	Comedy
Phyllis Smith	384	Comedy
Bill Murray	13000	Comedy
Garry Shandling	591	Comedy
Kristen Stewart	17000	Drama
Angelina Jolie Pitt	11000	Action
Sharlto Copley	2000	Action
Sam Riley	846	Action
Kodi Smit-McPhee	884	Adventure
Tamsin Egerton	622	Comedy
Alice Englert	525	Action
Bipasha Basu	283	Action
Keanu Reeves	18000	Drama
Cary-Hiroyuki Tagawa	1000	Action
Jin Akanishi	982	Action
Hayley Atwell	2000	Action
Jon Hamm	4000	Drama
Kathy Griffin	225	Adventure
Mary Kay Place	213	Comedy
Chris Bauer	638	Drama
Thomas Robinson	604	Action
Damon Wayans Jr.	756	Comedy
Daniel Henney	719	Comedy
Abraham Benrubi	562	Action
Jack McBrayer	975	Comedy
Sarah Silverman	931	Comedy
Joe Lo Truglio	833	Comedy
Eddie Deezen	726	Adventure
Peter Scolari	267	Adventure
Vivica A. Fox	890	Drama
Sela Ward	812	Adventure
Judd Hirsch	535	Action
Gerard Butler	18000	Action
America Ferrera	953	Comedy
Craig Ferguson	759	Adventure
Nick Stahl	648	Drama
Carolyn Hennesy	191	Action
Bradley Cooper	14000	Comedy
Djimon Hounsou	3000	Action
Matthew McConaughey	11000	Drama
Mackenzie Foy	6000	Drama
Mark Chinnery	544	Action
Shin'ya Tsukamoto	106	Action
Atsuko Maeda	12	Action
Jordana Brewster	4000	Action
Jason Flemyng	1000	Action
Julia Ormond	919	Drama
Philip Seymour Hoffman	22000	Drama
Josh Hutcherson	14000	Adventure
Nicolas Cage	12000	Thriller
Omar Benson Miller	418	Drama
Robert Capron	370	Action
Mike Vogel	2000	Drama
Andre Braugher	702	Drama
Justin Timberlake	3000	Comedy
Eric Idle	795	Comedy
Rupert Everett	692	Comedy
Dominic Cooper	3000	Drama
Callum Rennie	716	Thriller
Ruth Negga	648	Adventure
Emilia Clarke	10000	Action
Matt Smith	2000	Action
Bruce Spence	531	Adventure
Laura Brent	59	Adventure
Jennifer Garner	3000	Drama
Jaime King	961	Action
Mako	691	Action
Zack Ward	662	Action
Michael O'Neill	599	Drama
Anthony Hopkins	12000	Drama
Brian Blessed	591	Drama
Robert Pattinson	21000	Adventure
Fiona Shaw	687	Fantasy
Charlize Theron	9000	Drama
Alice Braga	1000	Drama
Willow Smith	558	Drama
David Kelly	588	Adventure
Janeane Garofalo	1000	Comedy
Brian Dennehy	954	Drama
Bernie Mac	1000	Comedy
Jada Pinkett Smith	851	Comedy
Cedric the Entertainer	436	Comedy
Robin Williams	49000	Comedy
Rami Malek	3000	Comedy
Steve Coogan	1000	Comedy
Dominic Monaghan	2000	Action
Essie Davis	309	Action
Collin Chou	269	Action
Nona Gaye	233	Action
Josh Gad	1000	Comedy
Maurice LaMarche	523	Comedy
Livvy Stubenrauch	490	Adventure
Steve Bastoni	234	Action
Daniel Bernhardt	198	Action
Helmut Bakaitis	30	Action
Natalie Portman	20000	Drama
Zoë Kravitz	943	Drama
Ayelet Zurer	745	Drama
Armin Mueller-Stahl	294	Thriller
Diedrich Bader	759	Comedy
James Lipton	699	Adventure
Kelli Garner	730	Comedy
Piper Mackenzie Harris	607	Comedy
Niecy Nash	182	Action
Edgar Ramírez	897	Thriller
Lily James	502	Fantasy
Jeremy Renner	10000	Thriller
Sean Harris	641	Thriller
Simon Merrells	490	Drama
Art Malik	162	Drama
Matthew Broderick	2000	Comedy
Oprah Winfrey	852	Family
Rip Torn	826	Comedy
Mike Bell	15	Action
Seychelle Gabriel	1000	Action
Noah Ringer	756	Action
Aasif Mandvi	346	Action
Jake Weber	551	Drama
Matt Craven	256	Drama
Elisabeth Harnois	921	Action
Dan Fogler	562	Comedy
Tom Everett Scott	433	Action
David Suchet	586	Adventure
Cara Delevingne	548	Drama
Nonso Anozie	394	Adventure
Ty Burrell	3000	Comedy
Zach Callison	1000	Adventure
Karan Brar	517	Comedy
Julian Glover	844	Adventure
Martin Short	770	Adventure
Toby Stephens	769	Thriller
Colin Salmon	766	Thriller
Rick Yune	746	Action
Ed Begley Jr.	783	Comedy
Kate McKinnon	370	Action
Zach Woods	322	Comedy
Bruce Willis	13000	Thriller
Will Patton	537	Action
Rosario Dawson	3000	Drama
Sebastian Roché	964	Action
Wayne Knight	967	Comedy
Michael Nyqvist	690	Action
Kamil McFadden	315	Adventure
Khamani Griffin	161	Animation
John Michael Higgins	957	Comedy
Richard Burgi	550	Crime
David Herman	233	Comedy
Tony Goldwyn	956	Thriller
Chad Lindberg	445	Action
María Valverde	893	Action
Ben Mendelsohn	748	Drama
Leonard Nimoy	12000	Adventure
Elodie Yung	934	Action
Bryan Brown	284	Adventure
Sam Shepard	820	Drama
Joe Morton	780	Thriller
Richard Roxburgh	653	Adventure
Matt Frewer	986	Action
Billy Crudup	745	Drama
Stephen McHattie	413	Drama
Rene Russo	808	Thriller
Darlene Love	91	Action
Kevin Rankin	820	Action
Regi Davis	300	Action
Celia Weston	258	Drama
Dwayne Johnson	12000	Action
Ming-Na Wen	2000	Adventure
Jean Simmons	422	Drama
Maria Grazia Cucinotta	536	Action
Desmond Llewelyn	244	Action
James D'Arcy	613	Horror
Lee Ingleby	172	Action
David Threlfall	168	Action
Taylor Lautner	12000	Adventure
Peter Mensah	1000	Action
Don Johnson	982	Action
Philip Michael Thomas	321	Action
John Diehl	184	Action
Mark Rylance	535	Drama
Penelope Wilton	400	Drama
Rafe Spall	358	Drama
Lukas Haas	733	Thriller
Snoop Dogg	881	Comedy
Ben Schwartz	463	Comedy
Stephen Root	939	Comedy
Annet Mahendru	411	Adventure
Andy Richter	179	Comedy
Matt Damon	13000	Drama
T.I.	680	Comedy
Sandra Ellis Lafferty	523	Thriller
Jim Parsons	17000	Comedy
Matt Jones	523	Comedy
April Winchell	183	Adventure
Lisa Ann Walter	1000	Comedy
Rick Gonzalez	807	Thriller
Henry Rollins	898	Action
Jordi Mollà	877	Drama
Constance Marie	442	Action
Amy Sedaris	397	Comedy
August Diehl	282	Action
Emma Watson	9000	Adventure
Logan Lerman	8000	Adventure
Toby Jones	2000	Drama
Mackenzie Crook	871	Action
Tony Curran	845	Action
Eddie Baroo	165	Adventure
Alfre Woodard	1000	Drama
D.B. Sweeney	558	Thriller
Della Reese	388	Thriller
Dave Legeno	570	Thriller
Ralph Ineson	159	Action
Will Ferrell	8000	Comedy
Verne Troyer	645	Adventure
Stephanie Szostak	1000	Comedy
Alfred Enoch	1000	Fantasy
Seth Gabel	574	Mystery
Jürgen Prochnow	362	Adventure
Miguel Ferrer	688	Comedy
Rachel Crow	237	Adventure
Jeffrey Garcia	56	Adventure
Bruce Davison	505	Drama
Aaron Stanford	346	Drama
Paul Anderson	154	Crime
Alexa Davalos	850	Action
Ronny Cox	605	Action
Rachel Ticotin	308	Action
Marshall Bell	217	Action
Vladimir Kulich	372	Action
Clive Russell	241	Drama
Scott Glenn	826	Drama
Stacy Keach	602	Drama
Michael Gough	920	Action
John Glover	409	Action
Clint Howard	1000	Comedy
T.J. Thyne	722	Comedy
Molly Shannon	636	Comedy
Dougray Scott	794	Thriller
Karen Allen	784	Drama
Mary Elizabeth Mastrantonio	638	Drama
Bob Gunton	461	Drama
Ioan Gruffudd	2000	Adventure
Suraj Sharma	774	Drama
Tabu	341	Drama
Matt Long	701	Action
Peter Fonda	402	Drama
Riz Ahmed	365	Action
Ato Essandoh	265	Drama
Demi Moore	2000	Drama
Justin Theroux	1000	Comedy
Nathan Lane	886	Comedy
Melanie Griffith	537	Thriller
Christina Cox	567	Action
Abbie Cornish	2000	Action
Jennifer Ehle	1000	Drama
Scott Porter	690	Romance
Kick Gurry	107	Action
Nicholas Elia	87	Action
Shelley Conn	273	Comedy
Domenick Lombardozzi	216	Comedy
Teyonah Parris	157	Comedy
Marc Blucas	973	Drama
Zoë Bell	1000	Action
Hayden Christensen	4000	Action
James Coburn	773	Adventure
Tao Okamoto	992	Action
Rila Fukushima	929	Action
Ian McDiarmid	1000	Action
Alain Delon	936	Adventure
Santiago Segura	276	Adventure
Vanessa Hessler	141	Adventure
Roger Willie	836	Drama
Noah Emmerich	617	Drama
Noel Fisher	833	Action
Danny Woodburn	809	Comedy
Jeremy Howard	429	Action
Phaldut Sharma	39	Adventure
Basher Savage	23	Adventure
Amy Warren	13	Adventure
Jamie Renée Smith	650	Action
Grant Heslov	293	Action
Stephen Amell	5000	Action
Tim Blake Nelson	596	Adventure
Reg E. Cathey	360	Drama
Tim Heidecker	78	Action
Archie Panjabi	884	Drama
Vincent Schiavelli	811	Comedy
Joe Don Baker	387	Action
Adam Baldwin	2000	Action
Julia Roberts	8000	Drama
Mini Anden	350	Crime
Stephanie March	322	Action
Theo James	5000	Adventure
Mekhi Phifer	1000	Drama
Adam Scott	3000	Comedy
Frances Conroy	827	Drama
James Corden	480	Comedy
Catherine Tate	392	Adventure
Olly Alexander	116	Fantasy
Chad L. Coleman	741	Action
George Peppard	669	Action
Dirk Benedict	554	Action
Dwight Schultz	432	Action
Sullivan Stapleton	1000	Action
Mahadeo Shivraj	383	Adventure
Tim Gunn	113	Adventure
Madison McKinley	111	Adventure
Roseanne Barr	513	Animation
G.W. Bailey	421	Comedy
Torey Michael Adkins	929	Action
Olga Fonda	544	Action
Jacob Tremblay	681	Adventure
Nancy O'Dell	71	Comedy
Vanessa Matsui	40	Adventure
Jason Patric	673	Crime
Lois Chiles	202	Action
Moises Arias	635	Drama
Aramis Knight	430	Action
Jonathan Sadowski	300	Thriller
Cyril Raffaelli	297	Action
Billy Boyd	857	Fantasy
Cécile De France	447	Comedy
Kelly Preston	743	Comedy
Spencer Breslin	434	Adventure
Chi McBride	466	Comedy
Philip Glenister	195	Action
Chazz Palminteri	979	Comedy
Jeffrey Jones	692	Comedy
Jenifer Lewis	578	Romance
Anika Noni Rose	525	Musical
Donald Glover	801	Sci-Fi
Benedict Wong	372	Drama
Mathew Buck	5	Comedy
Del Zamora	752	Comedy
Warren Beatty	631	Comedy
Robert Duvall	3000	Drama
Connie Nielsen	933	Drama
Oliver Reed	695	Drama
Frank Grillo	798	Thriller
Jessica Capshaw	533	Mystery
Tobias Menzies	1000	Action
Ivana Milicevic	834	Thriller
Estella Warren	658	Action
Erick Avari	567	Action
Jenette Goldstein	604	Action
S. Epatha Merkerson	539	Comedy
Denzel Washington	18000	Drama
Ruby Dee	782	Drama
RZA	561	Drama
Jamie Lee Curtis	2000	Comedy
Tia Carrere	1000	Comedy
Tom Arnold	618	Comedy
Michael Rispoli	385	Comedy
Robert De Niro	22000	Drama
Blythe Danner	713	Romance
Teri Polo	708	Thriller
Derek Jeter	107	Action
Vanessa Williams	1000	Drama
Roma Maffia	383	Thriller
Jason Alexander	700	Drama
Bill Fagerbakke	542	Animation
Eartha Kitt	558	Comedy
Wendie Malick	452	Comedy
John Fiedler	253	Animation
Sylvester Stallone	13000	Action
Armando Riesco	625	Drama
Annie Parisse	341	Comedy
Ed Speleers	762	Action
Gary Lewis	203	Drama
Catherine O'Hara	925	Comedy
Ryan Corr	468	Drama
Max Records	279	Adventure
Emma Kenney	151	Adventure
Troy Evans	120	Horror
Rufus Sewell	3000	Action
Mark Margolis	1000	Drama
Udo Kier	595	Action
Stephen Collins	452	Comedy
Rene Auberjonois	710	Action
Debi Mazar	680	Comedy
Jake Busey	660	Comedy
Patrick Muldoon	475	Action
Seth Gilliam	423	Drama
Jim Sturgess	5000	Drama
Anthony LaPaglia	577	Drama
Christopher Heyerdahl	825	Thriller
Alex Borstein	566	Comedy
Ingrid Bolsø Berdal	467	Action
Michael Wincott	720	Drama
Anna Friel	735	Comedy
Bobb'e J. Thompson	526	Comedy
Jamie Kennedy	490	Comedy
Traylor Howard	294	Comedy
Ben Stein	227	Comedy
Benjamin Walker	911	Action
Frank Dillane	571	Action
Randy Quaid	695	Action
Burt Young	683	Action
Sean Huze	537	Action
Igal Naor	95	Action
Francesca Capaldi	144	Adventure
Venus Schultheis	42	Adventure
Bill Melendez	36	Animation
Ben Gazzara	623	Drama
Felicity Huffman	508	Drama
Campbell Scott	393	Drama
Patricia Velasquez	591	Action
Ni Ni	196	Drama
Shigeo Kobayashi	28	Drama
Zooey Deschanel	11000	Comedy
Jon Heder	970	Comedy
Jon Lovitz	11000	Comedy
Roger Bart	465	Comedy
Thomas Middleditch	331	Comedy
Katherine LaNasa	329	Comedy
Milla Jovovich	14000	Action
Chris Noth	962	Comedy
Liza Minnelli	740	Drama
Kristin Davis	722	Comedy
Frank Welker	2000	Animation
Rosie Perez	919	Comedy
Elton John	442	Comedy
Drake	916	Adventure
Derek Jacobi	520	Drama
Michael Imperioli	873	Drama
AJ Michalka	560	Thriller
Alexander Gould	1000	Adventure
Bernard Hill	416	Adventure
Olivia Williams	766	Drama
Chris Barrie	240	Action
Michael Jeter	693	Drama
Trevor Morgan	595	Adventure
Alessandro Nivola	527	Thriller
David Oyelowo	1000	Drama
Tod Fennell	419	Adventure
Joan Plowright	330	Adventure
Cole Hauser	787	Thriller
Megalyn Echikunwoke	476	Thriller
Holly Hunter	1000	Drama
Craig T. Nelson	723	Comedy
Lou Romano	55	Action
Christopher Masterson	1000	Comedy
Matthew Modine	810	Action
Linda Fiorentino	602	Comedy
Ethan Suplee	1000	Drama
Mei Melançon	191	Action
John Lone	165	Action
Harris Yulin	141	Action
Amber Valletta	627	Comedy
Miranda Otto	568	Drama
Will Forte	622	Comedy
Al Roker	56	Animation
Denis Leary	835	Adventure
Maile Flanagan	256	Action
Kelly Keaton	117	Action
Adrian Martinez	806	Comedy
Joey Slotnick	423	Comedy
LL Cool J	1000	Thriller
Kelly Lynch	466	Action
Harvey Fierstein	500	Comedy
June Foray	484	Adventure
Brandon T. Jackson	918	Comedy
Goran Visnjic	1000	Drama
Joely Richardson	585	Drama
Aldis Hodge	559	Action
Kevin Chamberlin	489	Thriller
Robert Maillet	727	Action
Jim Varney	802	Adventure
Cree Summer	503	Adventure
Bella Thorne	35000	Comedy
Joshua Mikel	1000	Adventure
Jesse McCartney	1000	Animation
Adam Sandler	11000	Comedy
Sayed Badreya	600	Comedy
Kevin Nealon	503	Comedy
Haley Joel Osment	3000	Drama
Kevin Sussman	681	Comedy
Marsha Thomason	691	Comedy
Rachael Harris	569	Comedy
Marc John Jefferies	441	Mystery
Tom Skerritt	1000	Drama
Larry King	135	Comedy
Greg Grunberg	833	Sci-Fi
Kim Dickens	624	Drama
Curtiss Cook	591	Drama
George Harris	249	Crime
Michael Wright	249	Crime
Leven Rambin	956	Drama
Sanaa Lathan	886	Drama
Alun Armstrong	192	Action
Michael Byrne	117	Action
Velibor Topic	84	Action
Stephen Dillane	577	Drama
Catherine McCormack	307	Action
Kim Delaney	281	Adventure
Wanda Sykes	560	Comedy
Will.i.am	350	Adventure
Anne Heche	643	Drama
Gaby Hoffmann	612	Drama
Natascha McElhone	2000	Crime
Christian Camargo	602	Drama
Lex Shrapnel	123	Drama
William Smith	919	Drama
Sandahl Bergman	183	Adventure
Paddy Considine	680	Drama
Bruce McGill	655	Drama
Rosemarie DeWitt	537	Drama
Shirley Henderson	887	Drama
Richard E. Grant	554	Action
Michael Angarano	947	Drama
Alan Ruck	946	Drama
Jami Gertz	848	Comedy
Paul Sanchez	410	Adventure
Nick Searcy	272	Adventure
Elizabeth Daily	971	Comedy
Joan Allen	805	Drama
Oksana Akinshina	129	Action
Dean Stockwell	936	Drama
Elliott Gould	471	Crime
Jeff Bennett	283	Animation
Teala Dunn	142	Animation
Fred Tatasciore	118	Animation
Caroline Dhavernas	544	Drama
Scott Thompson	183	Crime
Hettienne Park	148	Crime
Jim Carter	439	Adventure
Gabourey Sidibe	906	Comedy
Sarah Parish	213	Comedy
Lisa Bonet	619	Drama
Meryl Streep	11000	Drama
Hunter Parrish	2000	Drama
Zoe Kazan	963	Drama
Al Pacino	14000	Drama
Debra Messing	650	Comedy
Jane Krakowski	624	Comedy
Bob Hoskins	5000	Drama
Gabriel Thomson	35	Drama
Clemens Schick	29	Drama
F. Murray Abraham	670	Drama
Tom Noonan	442	Drama
Li Gong	879	Drama
Karl Yune	210	Drama
Amber Stevens West	584	Action
Zachery Ty Bryan	227	Action
Nikki Griffin	159	Action
Imelda Staunton	579	Comedy
Michael Palin	561	Adventure
Raymond Cruz	672	Drama
Rick Worthy	174	Action
Jsu Garcia	172	Action
Roy Scheider	813	Drama
Ben Vereen	388	Comedy
Max Wright	87	Comedy
Anna Kendrick	10000	Comedy
Kieran Culkin	1000	Comedy
Ellen Wong	719	Action
Tchéky Karyo	345	Action
Rekha Sharma	106	Action
Larry Miller	611	Comedy
Janet Jackson	592	Romance
Chris Elliott	571	Comedy
Sarah Michelle Gellar	4000	Comedy
Linda Cardellini	2000	Comedy
Miguel A. Núñez Jr.	271	Adventure
Wood Harris	409	Action
Jason Cope	107	Action
Rakie Ayola	20	Action
Cameron Monaghan	1000	Comedy
Julie Kavner	233	Comedy
Ted Danson	875	Comedy
Hal Holbrook	826	Drama
Adrienne Barbeau	602	Horror
Katt Williams	615	Comedy
Tom Hulce	521	Action
Seth MacFarlane	3000	Comedy
Iván Kamarás	169	Action
Brian Steele	160	Action
Anthony Edwards	495	Drama
Michael Rapaport	975	Comedy
Vanessa Redgrave	898	Drama
Anthony Reynolds	575	Drama
Mason Lee	670	Comedy
Mike Tyson	461	Drama
Andrew Bryniarski	390	Action
Jason Scott Lee	533	Drama
David Ogden Stiers	443	Comedy
Garrick Hagon	110	Action
Steve Reevis	437	Comedy
Dalip Singh	421	Comedy
Lauren Gottlieb	733	Adventure
Paul Michael Glaser	343	Drama
Joseph Sikora	223	Mystery
Nellie Sciutto	163	Mystery
Katy Mixon	982	Drama
Drew Carey	311	Adventure
Paula Abdul	208	Adventure
Carmen Electra	869	Comedy
Kathryn Joosten	495	Comedy
Jennifer Jason Leigh	1000	Drama
Liam Aiken	818	Drama
Bailee Madison	3000	Comedy
Elden Henson	577	Comedy
Royce Johnson	4	Action
Charlie Cox	0	Action
Monica Potter	878	Thriller
Dave Chappelle	744	Comedy
Ethan Embry	982	Comedy
Cameron Boyce	915	Mystery
Jodi Benson	570	Comedy
Sam Lloyd	159	Comedy
Lili Taylor	960	Thriller
Virginia Madsen	913	Drama
Michael Jordan	366	Sport
Roger Rees	1000	Adventure
Henry Czerny	177	Comedy
William Abadie	38	Adventure
Juan Riedinger	71	Drama
Alex McArthur	137	Action
Michael Potts	67	Action
Jim Parrack	697	Action
Tom Cavanagh	642	Adventure
Josh Robert Thompson	375	Adventure
Charles Napier	503	Comedy
Zahn McClarnon	495	Adventure
Leslie Bibb	1000	Comedy
Nicholas Turturro	269	Comedy
June Lockhart	427	Action
Dorian Missick	1000	Drama
Jose Pablo Cantillo	502	Drama
Michael Brandon	87	Drama
Fran Drescher	859	Comedy
Elizabeth Montgomery	1000	Comedy
Agnes Moorehead	960	Family
Dick York	474	Comedy
Quincy Jones	340	Animation
Penn Jillette	243	Animation
Russi Taylor	62	Animation
Alan Young	639	Action
Josh Stamberg	102	Action
Mika Boorem	496	Drama
David Paymer	372	Comedy
Michael Emerson	2000	Action
Nick Chinlund	277	Action
Adrian Alonso	163	Action
Annabella Sciorra	448	Romance
Rosalind Chao	129	Drama
Michael McKean	658	Comedy
Nissim Renard	23	Drama
Roxane Duran	21	Drama
Julie-Marie Parmentier	8	Drama
Harold Perrineau	1000	Drama
Bart the Bear	904	Action
Devin Ratray	1000	Comedy
Boris Kodjoe	1000	Thriller
Jon Foster	274	Drama
Bruce Thomas	183	Drama
Viggo Mortensen	10000	Drama
Amy Brenneman	366	Action
Charlie Rowe	882	Drama
Tiya Sircar	396	Adventure
Madison Rothschild	210	Adventure
Richard Tyson	743	Comedy
John Topor	41	Action
Jenna Elfman	739	Adventure
Heather Locklear	695	Comedy
Fergie	529	Drama
Elio Germano	48	Drama
Andrea Di Stefano	30	Drama
Brian Anthony Wilson	674	Action
Larenz Tate	582	Drama
Adam Goldberg	1000	Comedy
Glenne Headly	231	Comedy
Joseph Gilgun	788	Drama
Lotte Verbeek	612	Action
Bob Neill	2	Action
Val Kilmer	0	Action
Tom Sizemore	0	Action
Mia Farrow	563	Drama
Adam LeFevre	80	Drama
Penny Balfour	14	Adventure
Pedro Armendáriz Jr.	67	Drama
Jacques Perrin	63	Documentary
Rie Miyazawa	7	Documentary
Jemima Rooper	212	Action
Sasha Roiz	795	Action
Currie Graham	172	Action
Dylan Schombing	74	Action
Sariann Monaco	163	Animation
David Hoffman	94	Animation
Ben Diskin	20	Animation
Austin Pendleton	592	Drama
Niketa Calame	847	Adventure
Melissa Sturm	18	Animation
Emily Watson	876	Drama
Tim Meadows	553	Comedy
Mo Gallini	771	Action
Veronica Cartwright	422	Comedy
Jeremy Northam	327	Romance
Jonathan Winters	924	Comedy
Eric Stonestreet	904	Comedy
Albert Brooks	745	Drama
Max Ryan	872	Action
Miranda Cosgrove	2000	Comedy
Mary McDonnell	933	Drama
Ariana Richards	610	Sci-Fi
Richard Schiff	506	Comedy
Vanessa Lee Chester	227	Action
Danny Huston	430	Drama
Rita Davies	18	Drama
Tyler Mane	764	Action
Michael Biehn	2000	Thriller
Bokeem Woodbine	904	Thriller
Ray Romano	590	Comedy
Jay Leno	241	Action
Peter Dante	427	Comedy
Allen Covert	328	Comedy
Jerry Stiller	719	Comedy
Elijah Kelley	339	Comedy
Paul Dooley	260	Comedy
Alan Ford	422	Horror
Izabella Scorupco	394	Thriller
Michael Kelly	963	Thriller
Barry Shabaka Henley	232	Comedy
Matt Ryan	560	Drama
Charles Halford	218	Drama
Kevin Dillon	576	Drama
Yvette Nicole Brown	446	Comedy
Nicholas Lea	867	Drama
Jud Tylor	15000	Biography
Martin Scorsese	17000	Adventure
Loretta Devine	912	Drama
Jennifer Hudson	549	Drama
Adam Arkin	374	Drama
Brent Sexton	130	Crime
Damian Lewis	0	Crime
Christina Milian	1000	Comedy
Moritz Bleibtreu	486	Drama
Tom Selleck	19000	Comedy
Christian Berkel	104	Drama
Paz Vega	964	Drama
Sarah Steele	138	Comedy
Brían F. O'Byrne	450	Comedy
Azura Skye	193	Comedy
Ben Cross	303	Action
John Gielgud	249	Drama
Geoffrey Palmer	103	Drama
Randall Duk Kim	99	Drama
Daniel Sharman	1000	Action
Steve Byers	222	Action
Ransford Doherty	759	Action
