Movie	title_year	duration	gross	genres	plot_keywords	language	content_rating	budget	country	aspect_ratio	color	movie_imdb_link	imdb_score	num_critic_for_reviews	num_user_for_reviews	num_voted_users	facenumber_in_poster	director_facebook_likes	cast_total_facebook_likes	movie_facebook_likes
Prince of Persia: The Sands of Time	2010	116	90755643	Action	alamut|dagger|king|persia|princess	English	PG-13	200000000	USA	2.35	Color	http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1	6.6	306	453	222403	2	179	16149	23000
Pacific Rim	2013	131	101785482	Action	giant monster|kaiju|pilot|portal|robot	English	PG-13	190000000	USA	1.85	Color	http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1	7.0	575	1106	381148	0	0	19166	83000
Transformers: Dark of the Moon	2011	154	352358779	Action	autobot|decepticon|job interview|moon|spacecraft	English	PG-13	195000000	USA	2.35	Color	http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1	6.3	428	899	326180	2	0	2593	46000
Indiana Jones and the Kingdom of the Crystal Skull	2008	122	317011114	Action	cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957	English	PG-13	185000000	USA	2.35	Color	http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1	6.2	470	2054	333847	2	14000	14959	5000
The Good Dinosaur	2015	93	123070338	Adventure	apatosaurus|asteroid|dinosaur|fear|river	English	PG		USA	2.35	Color	http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1	6.8	298	345	62836	0	113	696	20000
Brave	2012	93	237282182	Adventure	archery|coming of age|female warrior|princess|rebellious daughter	English	PG	185000000	USA	2.35	Color	http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1	7.2	488	428	273556	0	56	5005	39000
Star Trek Beyond	2016	122	130468626	Action	hatred|sequel|space opera|star trek|third part	English	PG-13	185000000	USA	2.35	Color	http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1	7.5	322	432	53607	4	681	1327	30000
WALL·E	2008	98	223806889	Adventure	earth|obesity|plant|robot|soil	English	G	180000000	USA	2.35	Color	http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1	8.4	421	1043	718837	0	475	2975	16000
Rush Hour 3	2007	91	140080850	Action	ambassador|assassination|chinese|french|triad	English	PG-13	140000000	USA	2.35	Color	http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1	6.2	162	221	121084	2	420	1125	0
2012	2009	158	166112167	Action	ark|catastrophe|geologist|president|writer	English	PG-13	200000000	USA	2.35	Color	http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1	5.8	367	1055	283418	0	776	2144	13000
A Christmas Carol	2009	96	137850096	Animation	charles dickens|christmas|christmas eve|ghost|scrooge	English	PG	200000000	USA	2.35	Color	http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1	6.8	240	249	72809	0	0	48878	0
Jupiter Ascending	2015	127	47375327	Action	box office flop|critically bashed|planet earth|space opera|woman in bra and panties	English	PG-13	176000000	USA	2.35	Color	http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1	5.4	384	720	139593	1	0	47334	44000
The Legend of Tarzan	2016	110	124051759	Action	africa|capture|jungle|male objectification|tarzan	English	PG-13	180000000	USA	2.35	Color	http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1	6.6	248	239	42372	2	282	21175	29000
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	2005	150	291709845	Adventure	hide and seek|lion|magic|professor|snow	English	PG	180000000	USA	2.35	Color	http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1	6.9	284	1463	286506	5	80	1317	0
X-Men: Apocalypse	2016	144	154985087	Action	mutant|superhero|superhero team|x men|year 1983	English	PG-13	178000000	USA	2.35	Color	http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1	7.3	396	622	148379	6	0	49684	54000
The Dark Knight	2008	152	533316061	Action	based on comic book|dc comics|psychopath|star died before release|urban setting	English	PG-13	185000000	USA	2.35	Color	http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1	9.0	645	4667	1676169	0	22000	57802	37000
Up	2009	96	292979556	Adventure	balloon|house|promise|retirement|skeleton	English	PG	175000000	USA	1.85	Color	http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1	8.3	408	704	665575	1	0	2635	27000
Monsters vs. Aliens	2009	94	198332128	Action	alien|alien invasion|alien space craft|giant|giantess	English	PG	175000000	USA	2.35	Color	http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1	6.5	219	187	114553	2	11	2579	0
Iron Man	2008	126	318298180	Action	afghanistan|billionaire|inventor|playboy|u.s. air force	English	PG-13	140000000	USA	2.35	Color	http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1	7.9	486	1055	696338	3	4000	39252	10000
Hugo	2011	126	73820094	Adventure	automaton|mechanical|railway station|steampunk|train	English	PG	170000000	USA	1.85	Color	http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1	7.5	682	678	245333	0	17000	36017	42000
Wild Wild West	1999	106	113745408	Action	buddy movie|general|inventor|steampunk|utah	English	PG-13	170000000	USA	1.85	Color	http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1	4.8	85	648	129601	2	188	15870	0
The Mummy: Tomb of the Dragon Emperor	2008	112	102176165	Action	army|china|emperor|mummy|shangri la	English	PG-13	145000000	USA	2.35	Color	http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1	5.2	264	501	117927	2	357	9131	0
Suicide Squad	2016	123	161087183	Action	based on comic book|critically bashed|father daughter relationship|reference to superman|super villain	English	PG-13	175000000	USA	2.35	Color	http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1	6.9	418	971	118992	8	452	11287	80000
Evan Almighty	2007	96	100289690	Comedy	ark|change|congressman|depiction of god|flood	English	PG	175000000	USA	2.35	Color	http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1	5.4	186	257	115099	0	293	108016	2000
Edge of Tomorrow	2014	113	100189501	Action	alien|combat|dying repeatedly|end of the world|time loop	English	PG-13	178000000	USA	2.35	Color	http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1	7.9	585	741	431620	1	218	12652	77000
Waterworld	1995	176	88246220	Action	future|sail|sea|smoker|water	English	PG-13	175000000	USA	1.85	Color	http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1	6.1	91	309	144337	0	58	1004	0
G.I. Joe: The Rise of Cobra	2009	118	150167630	Action	cobra|gi joe|snake|train|warhead	English	PG-13	175000000	USA	2.35	Color	http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1	5.8	250	534	174578	4	208	26683	0
Inside Out	2015	95	356454367	Adventure	anger|joy|memory|running away|sadness	English	PG	175000000	USA	1.85	Color	http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1	8.3	536	773	345198	1	0	2944	118000
The Jungle Book	2016	106	362645141	Adventure	fire|jungle|remake|tiger|wolf	English	PG	175000000	UK	1.85	Color	http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1	7.8	370	398	106072	0	4000	32921	65000
Iron Man 2	2010	124	312057433	Action	hammer|military|monaco|revenge|tony stark	English	PG-13	200000000	USA	2.35	Color	http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1	7.0	453	723	522371	4	4000	48638	18000
Snow White and the Huntsman	2012	132	155111815	Action	evil queen|fairy tale|magic|queen|snow white	English	PG-13	170000000	USA	2.35	Color	http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1	6.1	416	710	228554	0	274	72881	53000
Maleficent	2014	97	241407328	Action	curse|dark fantasy|fairy|king|kingdom	English	PG	180000000	USA	2.35	Color	http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1	7.0	401	634	252257	2	171	15516	89000
Dawn of the Planet of the Apes	2014	130	208543795	Action	ape|dam|leader|post apocalypse|sequel	English	PG-13	170000000	USA	1.85	Color	http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1	7.6	521	620	317542	0	198	14363	45000
The Lovers	2015	109		Action	1770s|british india|great barrier reef|india|ring	English	R		Belgium		Color	http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1	4.5	10	15	2138	3	596	1982	677
47 Ronin	2013	128	38297305	Action	box office flop|ronin|samurai|shogun|tournament	English	PG-13	175000000	USA	2.35	Color	http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1	6.3	218	324	116994	2	47	20965	35000
Captain America: The Winter Soldier	2014	136	259746958	Action	conspiracy|heroism|megalomaniac|super soldier|world domination	English	PG-13	170000000	USA	2.35	Color	http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1	7.8	576	742	496749	1	94	36188	55000
Shrek Forever After	2010	93	238371987	Adventure	alternate world|fairy tale parody|female warrior|ogre|true love	English	PG	165000000	USA	2.35	Color	http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1	6.4	226	173	138661	2	31	4628	0
Tomorrowland	2015	130	93417865	Action	boy genius|futuristic city|inventor|teenage girl|time travel	English	PG	190000000	USA	2.2	Color	http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1	6.5	443	497	128306	2	663	5046	37000
Big Hero 6	2014	102	222487711	Action	high tech|martial arts|masked man|robot|superhero	English	PG	165000000	USA	2.39	Color	http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1	7.9	384	433	279093	0	38	2963	41000
Wreck-It Ralph	2012	101	189412677	Adventure	arcade|candy|glitch|king|medal	English	PG	165000000	USA	2.35	Color	http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1	7.8	377	345	272534	1	66	4451	40000
The Polar Express	2004	100	665426	Adventure	boy|christmas|christmas eve|north pole|train	English	G	165000000	USA	2.35	Color	http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1	6.6	188	444	120798	0	0	16264	10000
Independence Day: Resurgence	2016	120	102315545	Action	alien|battle|defense|independence day|mothership	English	PG-13	165000000	USA	2.35	Color	http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1	5.5	286	520	58137	0	776	3233	67000
How to Train Your Dragon	2010	98	217387997	Adventure	dragon|island|training|viking|village	English	PG	165000000	USA	2.35	Color	http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1	8.2	288	492	485430	0	255	20453	33000
Terminator 3: Rise of the Machines	2003	109	150350192	Action	drifter|exploding truck|future|machine|skynet	English	R	200000000	USA	2.35	Color	http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1	6.4	280	1676	305340	0	84	1769	0
Guardians of the Galaxy	2014	121	333130696	Action	bounty hunter|outer space|raccoon|talking animal|tree	English	PG-13	170000000	USA	2.35	Color	http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1	8.1	653	1097	682155	3	571	32438	96000
Interstellar	2014	169	187991439	Adventure	black hole|father daughter relationship|saving the world|space travel|wormhole	English	PG-13	165000000	USA	2.35	Color	http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1	8.6	712	2725	928227	1	22000	31488	349000
Inception	2010	148	292568851	Action	ambiguous ending|corporate espionage|dream|subconscious|thief	English	PG-13	160000000	USA	2.35	Color	http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1	8.8	642	2803	1468200	0	22000	81115	175000
Godzilla Resurgence	2016	120		Action	blood|godzilla|monster|sequel	Japanese			Japan	2.35	Color	http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1	8.2	1	13	374	0	28	699	0
The Hobbit: An Unexpected Journey	2012	182	303001229	Adventure	dragon|dwarf|hobbit|orc|wizard	English	PG-13	180000000	USA	2.35	Color	http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1	7.9	645	1367	637246		0	9152	166000
The Fast and the Furious	2001	106	144512310	Action	eighteen wheeler|illegal street racing|truck|trucker|undercover cop	English	PG-13	38000000	USA	2.35	Color	http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1	6.7	187	988	272223	2	357	45327	14000
The Curious Case of Benjamin Button	2008	166	127490802	Drama	deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging	English	PG-13	150000000	USA	2.35	Color	http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1	7.8	362	822	459346	2	21000	13333	23000
X-Men: First Class	2011	132	146405371	Action	cia|cia agent|mutant|nuclear war|professor	English	PG-13	160000000	USA	2.35	Color	http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1	7.8	500	698	518537	3	905	50983	54000
The Hunger Games: Mockingjay - Part 2	2015	137	281666058	Adventure	death of sister|dystopia|execution|rebellion|revolution	English	PG-13	160000000	USA	2.35	Color	http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1	6.6	389	383	166137	1	508	81385	38000
The Sorcerer's Apprentice	2010	109	63143812	Action	chosen one|enchanted object|love|spell|training	English	PG	150000000	USA	2.35	Color	http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1	6.1	235	238	124185	0	226	13388	11000
Poseidon	2006	98	60655503	Action	cruise|escape|ocean|passenger|water	English	PG-13	160000000	USA	2.35	Color	http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1	5.6	231	629	82380	0	249	92456	0
Alice Through the Looking Glass	2016	113	76846624	Adventure	clock|dark fantasy|mad hatter|queen|sequel	English	PG	170000000	USA	1.85	Color	http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1	6.4	218	131	21352	1	33	80806	30000
Shrek the Third	2007	93	320706665	Adventure	disney spoof|fairy tale|prince|princess|tough guy	English	PG	160000000	USA	1.85	Color	http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1	6.1	227	326	211971	2	50	4705	0
Warcraft	2016	123	46978995	Action	based on video game|fictional language|fictional war|orc|sword and sorcery	English	PG-13	160000000	USA	2.35	Color	http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1	7.3	275	781	111609	0	0	5505	89000
Terminator Genisys	2015	126	89732035	Action	alternate timeline|cyborg|future|robot|time machine	English	PG-13	155000000	USA	2.35	Color	http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1	6.6	474	867	188457	2	230	38873	82000
The Chronicles of Narnia: The Voyage of the Dawn Treader	2010	113	104383624	Adventure	dragon|king|mouse|quest|warrior	English	PG	155000000	USA	1.78	Color	http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1	6.3	228	227	106446	4	150	764	11000
Pearl Harbor	2001	184	198539855	Action	air raid|black smoke|japanese military|japanese navy|sunday	English	PG-13	140000000	USA	2.35	Black and White	http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1	6.1	191	1999	254111	0	0	5401	0
Transformers	2007	144	318759914	Action	alien contact|autobot|decepticon|robot vs. robot|teenage hero	English	PG-13	150000000	USA	2.35	Color	http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1	7.1	396	1782	513158	0	0	2333	8000
Alexander	2004	206	34293771	Action	ancient greece|conquest|greek|greek myth|king	English	R	155000000	Germany	2.35	Color	http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1	5.5	248	1390	138863	3	0	24598	0
